symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TSLA,2023-08-14 12:45:00+00:00,235.11,235.2,235.03,235.12,32870.0,568.0,235.099666
TSLA,2023-08-14 12:46:00+00:00,235.15,235.39,235.04,235.28,49205.0,523.0,235.217658
TSLA,2023-08-14 12:47:00+00:00,235.3,235.32,235.16,235.3,17121.0,357.0,235.27007
TSLA,2023-08-14 12:48:00+00:00,235.3,235.3,235.14,235.19,22448.0,390.0,235.20062
TSLA,2023-08-14 12:49:00+00:00,235.1726,235.18,235.05,235.14,27537.0,642.0,235.104211
TSLA,2023-08-14 12:50:00+00:00,235.15,235.57,235.13,235.52,53671.0,770.0,235.378471
TSLA,2023-08-14 12:51:00+00:00,235.45,235.66,235.4,235.66,40844.0,616.0,235.542075
TSLA,2023-08-14 12:52:00+00:00,235.59,235.65,235.5,235.63,18923.0,453.0,235.558438
TSLA,2023-08-14 12:53:00+00:00,235.55,235.63,235.43,235.5,20355.0,394.0,235.511834
TSLA,2023-08-14 12:54:00+00:00,235.54,235.78,235.46,235.69,24601.0,430.0,235.695147
TSLA,2023-08-14 12:55:00+00:00,235.66,235.87,235.66,235.8495,27317.0,446.0,235.758408
TSLA,2023-08-14 12:56:00+00:00,235.75,235.8239,235.5521,235.8,20020.0,445.0,235.66988
TSLA,2023-08-14 12:57:00+00:00,235.7952,235.82,235.66,235.71,12495.0,396.0,235.738791
TSLA,2023-08-14 12:58:00+00:00,235.71,235.89,235.71,235.89,22546.0,399.0,235.813993
TSLA,2023-08-14 12:59:00+00:00,235.8852,235.9047,235.6,235.668,19069.0,533.0,235.790248
TSLA,2023-08-14 13:00:00+00:00,235.65,235.75,235.6,235.7,15193.0,355.0,235.669047
TSLA,2023-08-14 13:01:00+00:00,235.65,235.74,235.61,235.7,8831.0,252.0,235.675066
TSLA,2023-08-14 13:02:00+00:00,235.68,235.68,235.45,235.5,23419.0,593.0,235.56125
TSLA,2023-08-14 13:03:00+00:00,235.45,235.6,235.4,235.6,17446.0,396.0,235.468363
TSLA,2023-08-14 13:04:00+00:00,235.57,235.75,235.5,235.75,17239.0,320.0,235.621302
